=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.12 21:51:42 =~=~=~=~=~=~=~=~=~=~=~=
=J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,









Found Edge
-47
-47
548,179.33,187.21
550,179.33,187.21
551,178.98,187.21
553,178.98,187.21
555,178.98,187.43
557,178.98,187.43
559,178.98,187.43
560,178.98,187.43
563,178.98,187.64
564,178.98,187.64
566,178.98,187.64
568,178.98,187.86
570,178.98,187.86
572,178.98,187.86
574,178.98,187.86
575,178.98,188.08
577,178.98,188.08
579,178.98,188.08
580,178.98,188.30
584,178.98,188.30
585,178.98,188.30
588,178.98,188.52
589,178.98,188.52
591,178.98,188.52
593,178.98,188.74
594,178.98,188.74
596,178.98,188.74
598,178.63,188.96
600,178.63,188.96
602,178.98,189.18
604,178.98,189.18
605,178.98,189.18
607,178.98,189.40
609,178.98,189.40
611,178.98,189.62
613,178.98,189.62
614,178.98,189.83
616,178.98,189.83
618,178.98,190.05
620,178.98,190.05
622,178.98,190.27
624,178.98,190.27
625,178.98,190.49
628,178.98,190.49
630,178.98,190.71
632,178.98,190.71
634,178.98,190.93
635,178.98,190.93
638,178.98,191.15
639,178.98,191.15
641,178.98,191.37
643,178.63,191.37
645,178.63,191.37
646,178.98,191.59
649,178.98,191.59
650,178.98,191.80
652,178.98,191.80
654,178.98,192.02
656,178.98,192.02
658,178.63,192.24
659,178.63,192.24
661,178.98,192.46
663,178.98,192.46
665,178.98,192.68
667,178.98,192.68
670,178.98,192.90
671,178.98,192.90
673,178.98,193.12
675,178.98,193.12
677,178.98,193.34
679,178.98,193.34
680,178.98,193.56
683,178.63,193.56
684,178.63,193.78
686,178.63,194.00
688,178.98,194.00
690,178.98,194.00
691,178.63,194.21
693,178.63,194.43
695,178.63,194.43
697,178.98,194.65
699,178.98,194.65
700,178.98,194.87
703,178.98,195.09
704,178.98,195.09
706,178.98,195.31
708,178.98,195.53
710,178.98,195.53
713,178.98,195.75
714,178.98,195.75
716,178.98,195.97
718,178.98,195.97
720,178.98,196.19
721,178.63,196.40
724,178.63,196.40
725,178.63,196.62
728,178.98,196.62
729,178.98,196.84
731,178.98,197.06
733,178.98,197.06
735,178.98,197.28
736,178.63,197.28
738,178.63,197.50
740,178.63,197.50
742,178.98,197.72
744,178.98,197.94
745,178.98,198.16
748,178.63,198.16
749,178.63,198.38
751,178.98,198.59
753,178.98,198.59
756,178.98,198.81
758,178.63,198.81
760,178.63,199.03
761,178.63,199.25
763,178.98,199.25
765,178.98,199.47
767,178.63,199.69
769,178.63,199.91
770,178.63,199.91
773,178.98,200.13
774,178.98,200.35
776,178.98,200.57
778,178.98,200.57
780,178.98,200.78
781,178.63,201.00
784,178.63,201.22
785,178.63,201.22
787,178.98,201.44
789,178.98,201.66
790,178.98,201.88
793,178.63,201.88
794,178.63,202.10
796,178.98,202.32
799,178.98,202.54
801,178.98,202.54
803,178.63,202.76
805,178.63,202.97
806,178.63,203.19
808,178.98,203.41
810,178.98,203.41
812,178.98,203.63
814,178.98,203.85
815,178.98,204.07
818,178.98,204.29
819,178.98,204.29
821,178.98,204.73
823,178.27,204.73
825,178.27,204.95
827,179.33,205.16
828,179.33,205.38
830,179.33,205.38
832,178.63,205.60
834,178.63,205.82
835,178.63,206.04
838,178.63,206.26
840,178.63,206.26
842,178.98,206.48
844,178.98,206.70
846,178.98,206.92
848,178.98,207.13
850,178.98,207.35
851,178.98,207.57
853,178.98,207.57
855,178.98,207.79
856,178.98,208.01
859,178.98,208.23
860,178.98,208.45
862,178.98,208.67
864,178.98,208.67
866,178.98,208.89
868,178.63,209.11
869,178.63,209.33
871,178.98,209.54
873,178.98,209.54
875,178.98,209.76
877,178.63,209.98
